date,version,count
2026-08-13,OL,0
2026-08-13,TB,0
2026-08-13,VFL,0
2026-08-14,ACF,0
2026-08-14,ALM1911,0
2026-08-14,ARA,0
2026-08-14,ARC,0
2026-08-14,AS21,0
2026-08-14,BLIVRE,0
2026-08-14,JFAA,0
2026-08-14,KJA,0
2026-08-14,KJF,0
2026-08-14,MENS,0
2026-08-14,NAA,0
2026-08-14,NBV,0
2026-08-14,NTLH,0
2026-08-14,NVI,0
2026-08-14,NVT,0
2026-08-14,OL,0
2026-08-14,TB,0
2026-08-14,VFL,0
2026-08-15,ACF,0
2026-08-15,ALM1911,0
2026-08-15,ARA,0
2026-08-15,ARC,0
2026-08-15,AS21,0
2026-08-15,BLIVRE,0
2026-08-15,JFAA,0
2026-08-15,KJA,0
2026-08-15,KJF,0
2026-08-15,MENS,0
2026-08-15,NAA,0
2026-08-15,NBV,0
2026-08-15,NTLH,0
2026-08-15,NVI,0
2026-08-15,NVT,0
2026-08-15,OL,0
2026-08-15,TB,0
2026-08-15,VFL,0
2026-08-16,ACF,0
2026-08-16,ALM1911,0
2026-08-16,ARA,0
2026-08-16,ARC,0
2026-08-16,AS21,0
2026-08-16,BLIVRE,0
2026-08-16,JFAA,0
2026-08-16,KJA,0
2026-08-16,KJF,0
2026-08-16,MENS,0
2026-08-16,NAA,0
2026-08-16,NBV,0
2026-08-16,NTLH,0
2026-08-16,NVI,0
2026-08-16,NVT,0
2026-08-16,OL,0
2026-08-16,TB,0
2026-08-16,VFL,0
2026-08-17,ACF,0
2026-08-17,ALM1911,0
2026-08-17,ARA,0
2026-08-17,ARC,0
2026-08-17,AS21,0
2026-08-17,BLIVRE,0
2026-08-17,JFAA,0
2026-08-17,KJA,0
2026-08-17,KJF,0
2026-08-17,MENS,0
2026-08-17,NAA,0
2026-08-17,NBV,0
2026-08-17,NTLH,0
2026-08-17,NVI,0
2026-08-17,NVT,0
2026-08-17,OL,0
2026-08-17,TB,0
2026-08-17,VFL,0
2026-08-18,ACF,0
2026-08-18,ALM1911,0
2026-08-18,ARA,0
2026-08-18,ARC,0
2026-08-18,AS21,0
2026-08-18,BLIVRE,0
2026-08-18,JFAA,0
2026-08-18,KJA,0
2026-08-18,KJF,0
2026-08-18,MENS,0
2026-08-18,NAA,0
2026-08-18,NBV,0
2026-08-18,NTLH,0
2026-08-18,NVI,0
2026-08-18,NVT,0
2026-08-18,OL,0
2026-08-18,TB,0
2026-08-18,VFL,0
2026-08-19,ACF,0
2026-08-19,ALM1911,0
2026-08-19,ARA,0
2026-08-19,ARC,0
2026-08-19,AS21,0
2026-08-19,BLIVRE,0
2026-08-19,JFAA,0
2026-08-19,KJA,0
2026-08-19,KJF,0
2026-08-19,MENS,0
2026-08-19,NAA,0
2026-08-19,NBV,0
2026-08-19,NTLH,0
2026-08-19,NVI,0
2026-08-19,NVT,0
2026-08-19,OL,0
2026-08-19,TB,0
2026-08-19,VFL,0
2026-08-20,ACF,0
2026-08-20,ALM1911,0
2026-08-20,ARA,0
2026-08-20,ARC,0
2026-08-20,AS21,0
2026-08-20,BLIVRE,0
2026-08-20,JFAA,0
2026-08-20,KJA,0
2026-08-20,KJF,0
2026-08-20,MENS,0
2026-08-20,NAA,0
2026-08-20,NBV,0
2026-08-20,NTLH,0
2026-08-20,NVI,0
2026-08-20,NVT,0
2026-08-20,OL,0
2026-08-20,TB,0
2026-08-20,VFL,0
2026-08-21,ACF,0
2026-08-21,ALM1911,0
2026-08-21,ARA,0
2026-08-21,ARC,0
2026-08-21,AS21,0
2026-08-21,BLIVRE,0
